uid,language,utterance,utterance_stripped,begin,end,participant,duration,FTO,overlap,nature,nchar,n,freq,rank,streak
dutch-11-326-390268,dutch,ja,ja,390268,390500,spreker2 [v] (TIE2),232,-1756,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-327-391643,dutch,ja,ja,391643,391862,spreker2 [v] (TIE2),219,-381,full,talk,2,77862,1.2112289194185375e-5,1,4
dutch-11-328-392220,dutch,ja,ja,392220,392416,spreker2 [v] (TIE2),196,196,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-11-333-395578,dutch,nee,nee,395578,395797,spreker2 [v] (TIE2),219,-126,partial,talk,3,9041,1.4064268398529449e-6,2,2
dutch-11-337-398765,dutch,ja,ja,398765,399031,spreker1 [v] (TIE0),266,-843,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-338-399365,dutch,ja,ja,399365,399677,spreker1 [v] (TIE0),312,-243,NA,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-342-402088,dutch,ja,ja,402088,402411,spreker1 [v] (TIE0),323,196,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-355-414142,dutch,ja,ja,414142,414511,spreker2 [v] (TIE2),369,23,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-363-424581,dutch,ja,ja,424581,424961,spreker2 [v] (TIE2),380,331,NA,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-368-432750,dutch,ja,ja,432750,433200,spreker2 [v] (TIE2),450,-565,full,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-369-433350,dutch,ja,ja,433350,433673,spreker2 [v] (TIE2),323,35,NA,talk,2,77862,1.2112289194185375e-5,1,4
dutch-11-370-433858,dutch,[laugh] ja,ja,433858,435180,spreker2 [v] (TIE2),1322,NA,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-11-376-439403,dutch,ja,ja,439403,439819,spreker1 [v] (TIE0),416,-1904,full,talk,2,77862,1.2112289194185375e-5,1,2
dutch-11-381-445619,dutch,ja,ja,445619,445930,spreker1 [v] (TIE0),311,-196,partial,talk,2,77862,1.2112289194185375e-5,1,3
dutch-11-383-447199,dutch,ja,ja,447199,447603,spreker1 [v] (TIE0),404,-243,partial,talk,2,77862,1.2112289194185375e-5,1,4
dutch-11-388-453800,dutch,ja,ja,453800,454158,spreker1 [v] (TIE0),358,346,NA,talk,2,77862,1.2112289194185375e-5,1,5
dutch-11-390-456188,dutch,ja,ja,456188,456638,spreker1 [v] (TIE0),450,-81,partial,talk,2,77862,1.2112289194185375e-5,1,6
